domain,name,n_nodes,n_edges,level,measure,value,auc
Social,Dolphin_social_network_Dolphins,62,159,100,spectral_entropy,0.9093965372331484,
Social,Dolphin_social_network_Dolphins,62,159,80,spectral_entropy,0.9028374892519346,
Social,Dolphin_social_network_Dolphins,62,159,60,spectral_entropy,0.8433268858800773,
Social,Dolphin_social_network_Dolphins,62,159,40,spectral_entropy,0.902439024390244,
Social,Dolphin_social_network_Dolphins,62,159,20,spectral_entropy,0.933852140077821,
Social,Dolphin_social_network_Dolphins,62,159,100,adamic_adar_entropy,1.3518251774894223,0.7336108220603539
Social,Dolphin_social_network_Dolphins,62,159,100,seal_entropy,0.9141774632779976,0.7606659729448492
Social,Family_planning_in_Korea1,33,68,100,spectral_entropy,0.7980884109916367,
Social,Family_planning_in_Korea1,33,68,80,spectral_entropy,0.8823529411764706,
Social,Family_planning_in_Korea1,33,68,60,spectral_entropy,0.8923512747875355,
Social,Family_planning_in_Korea1,33,68,40,spectral_entropy,0.874439461883408,
Social,Family_planning_in_Korea1,33,68,20,spectral_entropy,0.9558823529411764,
Social,Family_planning_in_Korea1,33,68,100,adamic_adar_entropy,1.3134758952005667,0.8579881656804733
Social,Family_planning_in_Korea1,33,68,100,seal_entropy,0.7732720193487622,0.8698224852071006
Social,Family_planning_in_Korea2,35,84,100,spectral_entropy,0.8440265486725664,
Social,Family_planning_in_Korea2,35,84,80,spectral_entropy,0.7927601809954752,
Social,Family_planning_in_Korea2,35,84,60,spectral_entropy,0.8658922914466737,
Social,Family_planning_in_Korea2,35,84,40,spectral_entropy,0.9859154929577464,
Social,Family_planning_in_Korea2,35,84,20,spectral_entropy,1.162790697674419,
Social,Family_planning_in_Korea2,35,84,100,adamic_adar_entropy,1.2937494242973084,0.849609375
Social,Family_planning_in_Korea2,35,84,100,seal_entropy,0.7840723338208275,0.8828125
Social,"High_school_dynamic_contact_networks_contact_list,_2011",126,1709,100,spectral_entropy,0.9089051149136984,
Social,"High_school_dynamic_contact_networks_contact_list,_2011",126,1709,80,spectral_entropy,0.8763928179666302,
Social,"High_school_dynamic_contact_networks_contact_list,_2011",126,1709,60,spectral_entropy,0.8422041327489042,
Social,"High_school_dynamic_contact_networks_contact_list,_2011",126,1709,40,spectral_entropy,0.8272394881170018,
Social,"High_school_dynamic_contact_networks_contact_list,_2011",126,1709,20,spectral_entropy,0.7658749394086282,
Social,"High_school_dynamic_contact_networks_contact_list,_2011",126,1709,100,adamic_adar_entropy,0.7020830726284507,0.9038836955306544
Social,"High_school_dynamic_contact_networks_contact_list,_2011",126,1709,100,seal_entropy,0.6825884194778743,0.9204341207935948
Social,"High_school_dynamic_contact_networks_contact_list,_2012",180,2220,100,spectral_entropy,0.9162148725111864,
Social,"High_school_dynamic_contact_networks_contact_list,_2012",180,2220,80,spectral_entropy,0.9335733206547578,
Social,"High_school_dynamic_contact_networks_contact_list,_2012",180,2220,60,spectral_entropy,0.9387490851770536,
Social,"High_school_dynamic_contact_networks_contact_list,_2012",180,2220,40,spectral_entropy,0.9161181230750648,
Social,"High_school_dynamic_contact_networks_contact_list,_2012",180,2220,20,spectral_entropy,0.9255363904080774,
Social,"High_school_dynamic_contact_networks_contact_list,_2012",180,2220,100,adamic_adar_entropy,0.7416975673600011,0.8969772137001867
Social,"High_school_dynamic_contact_networks_contact_list,_2012",180,2220,100,seal_entropy,0.7115327488717613,0.8959246408570732
Social,Hollywood_film_music_Hollywood_film_music,101,192,100,spectral_entropy,0.9592954058557486,
Social,Hollywood_film_music_Hollywood_film_music,101,192,80,spectral_entropy,0.8935449083346171,
Social,Hollywood_film_music_Hollywood_film_music,101,192,60,spectral_entropy,0.9464207290294248,
Social,Hollywood_film_music_Hollywood_film_music,101,192,40,spectral_entropy,0.9812782440284054,
Social,Hollywood_film_music_Hollywood_film_music,101,192,20,spectral_entropy,1.0602678571428572,
Social,Hollywood_film_music_Hollywood_film_music,101,192,100,adamic_adar_entropy,-0.0,0.4736842105263158
Social,Hollywood_film_music_Hollywood_film_music,101,192,100,seal_entropy,0.8561362862622991,0.8424515235457064
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_1,39,169,100,spectral_entropy,0.919862128392934,
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_1,39,169,80,spectral_entropy,0.881782945736434,
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_1,39,169,60,spectral_entropy,0.8141493542953397,
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_1,39,169,40,spectral_entropy,0.8129032258064516,
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_1,39,169,20,spectral_entropy,1.1682242990654206,
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_1,39,169,100,adamic_adar_entropy,1.0467865294771603,0.7892561983471075
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_1,39,169,100,seal_entropy,0.9294815548757668,0.6528925619834711
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_2,39,248,100,spectral_entropy,0.9566596194503172,
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_2,39,248,80,spectral_entropy,0.8833063209076175,
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_2,39,248,60,spectral_entropy,0.7464212678936606,
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_2,39,248,40,spectral_entropy,0.647130647130647,
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_2,39,248,20,spectral_entropy,0.9049773755656108,
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_2,39,248,100,adamic_adar_entropy,0.8480324594482747,0.7111620158267388
Social,Kapferer_tailor_shop_Kapferer_tailor_shop_2,39,248,100,seal_entropy,0.8406212670407228,0.7309454394002498
