domain,name,n_nodes,n_edges,level,measure,value,auc
Transportation,US_airport_network_top_500_2002_US_airport_network_top_500_2002,500,2980,100,spectral_entropy,0.6732642980150458,
Transportation,US_airport_network_top_500_2002_US_airport_network_top_500_2002,500,2980,80,spectral_entropy,0.5834998889629136,
Transportation,US_airport_network_top_500_2002_US_airport_network_top_500_2002,500,2980,60,spectral_entropy,0.6033694160695228,
Transportation,US_airport_network_top_500_2002_US_airport_network_top_500_2002,500,2980,40,spectral_entropy,0.571249962789867,
Transportation,US_airport_network_top_500_2002_US_airport_network_top_500_2002,500,2980,20,spectral_entropy,0.6153846153846154,
Transportation,US_airport_network_top_500_2002_US_airport_network_top_500_2002,500,2980,100,adamic_adar_entropy,2.7854911746043487,0.9208791270663484
Transportation,US_airport_network_top_500_2002_US_airport_network_top_500_2002,500,2980,100,seal_entropy,0.4901500290147627,0.96431607810459
Transportation,595b1442549f067e0263b520,369,430,100,spectral_entropy,0.9255733448723495,
Transportation,595b1442549f067e0263b520,369,430,80,spectral_entropy,0.9331707857696996,
Transportation,595b1442549f067e0263b520,369,430,60,spectral_entropy,0.9646762798799962,
Transportation,595b1442549f067e0263b520,369,430,40,spectral_entropy,0.9299097848716168,
Transportation,595b1442549f067e0263b520,369,430,20,spectral_entropy,0.9168495488905144,
Transportation,595b1442549f067e0263b520,369,430,100,adamic_adar_entropy,0.9905109047074648,0.5174418604651163
Transportation,595b1442549f067e0263b520,369,430,100,seal_entropy,0.8128753803290378,0.7833964305029746
Transportation,58869b22a411221d0e7c6788,417,2953,100,spectral_entropy,0.8560403500243072,
Transportation,58869b22a411221d0e7c6788,417,2953,80,spectral_entropy,0.752318058996984,
Transportation,58869b22a411221d0e7c6788,417,2953,60,spectral_entropy,0.7241991025774809,
Transportation,58869b22a411221d0e7c6788,417,2953,40,spectral_entropy,0.7461497610196495,
Transportation,58869b22a411221d0e7c6788,417,2953,20,spectral_entropy,0.8095213926813176,
Transportation,58869b22a411221d0e7c6788,417,2953,100,adamic_adar_entropy,2.407489439350114,0.9066977879919562
Transportation,58869b22a411221d0e7c6788,417,2953,100,seal_entropy,0.6115449460283462,0.9392415972421718
Transportation,57f1e78f8cf714f319c390a6,1039,1305,100,spectral_entropy,0.8447795714150854,
Transportation,57f1e78f8cf714f319c390a6,1039,1305,80,spectral_entropy,0.827707874670127,
Transportation,57f1e78f8cf714f319c390a6,1039,1305,60,spectral_entropy,0.8022459810783786,
